"organization","key","name","qualifier","visibility","lastAnalysisDate","revision"
"gboticario","alquimia-template-typescript-k8s-nestjs","alquimia-template-typescript-k8s-nestjs","TRK","private","2024-03-15T23:09:24+0100","f75c17586f7b963f96a9c98f3fa8ea6fc56079d7"
"gboticario","alquimia-template-typescript-hexagonal-port-nestjs","alquimia-template-typescript-nestjs","TRK","private","2024-03-12T23:07:24+0100","4cb73b21ee305ef70639c9f8b6d0bb1f93f59d93"
"gboticario","alquimia-template-typescript-serverless","alquimia-template-typescript-serverless","TRK","private","2024-06-24T08:54:44+0200","fe791993a25954e1f1b6272bc681b37d2061c9d1"
"gboticario","saloes-salao99-android-enterprise","android-enterprise","TRK","private","2022-08-31T18:33:41+0200","c8a563baab8d2108fc3f7264e222f1d2d07bf8d2"
"gboticario","saloes-salao99-android-portal","android-portal","TRK","private","2022-08-31T18:38:11+0200","1ae52203fd9039e6d595f55cb543538584bc630d"
"gboticario","colab-integracao-api-colab-golden-source","api-colab-golden-source","TRK","private","2022-08-09T23:19:33+0200","743153b9189e1c2c4e434c30b721e2f944c58340"
"gboticario","cons-produtos-api-orquestrador-campanhas","api-orquestrador-campanhas","TRK","private","2022-08-18T20:39:53+0200","1735989866f38016c04c4854279cc42e3b0c3538"
"gboticario","arq-alquimia-template-typescript-resources","arq-alquimia-template-typescript-resources","TRK","private",,
"gboticario","arq-alquimia-test-system-automated-test-1699550630334","arq-alquimia-test-system-automated-test-1699550630334","TRK","private",,
"gboticario","arq-alquimia-test-system-automated-test-1699838901918","arq-alquimia-test-system-automated-test-1699838901918","TRK","private",,
"gboticario","arq-alquimia-test-system-automated-test-1699881059633","arq-alquimia-test-system-automated-test-1699881059633","TRK","private",,
"gboticario","arq-alquimia-test-system-automated-test-1700152757428","arq-alquimia-test-system-automated-test-1700152757428","TRK","private",,
"gboticario","arq-alquimia-test-system-automated-test-1700445324502","arq-alquimia-test-system-automated-test-1700445324502","TRK","private",,
"gboticario","arq-alquimia-test-system-automated-test-1700445333890","arq-alquimia-test-system-automated-test-1700445333890","TRK","private",,
